Nr Lochy;Rasa;Aktualny miot;Aktualna liczba potomstwa lochy oceniona przyżyciowo;Aktualny Blup ZWH;Miot dla max ZWH;Liczba potomstwa lochy ocenianych przyżyciowo dla MAX ZWH;Max ZWH;Blup przyr. dz. dla max liczby potom.;Blup % mięsa dla max liczby potom.;Blup dla liczby prosiąt urodzonych;Blup dla liczby prosiąt odchowanych;Max liczba potomstwa;ZWH dla max liczby potom.
24199006921;20;2;2;9.389;2;2;9.409;-0.49;1.32;-1.82;-0.85;2;9.409
24041015619;20;4;3;9.3726;3;2;9.4962;-0.87;0.65;-1.34;-0.58;5;9.4104
06031054020;20;4;6;9.4744;3;2;9.656;-0.06;-1.21;-0.5;-0.69;8;9.4122
26086097721;20;2;3;9.3614;1;3;9.4164;-0.4;-0.61;-0.51;-0.71;3;9.4164
26093021019;20;6;3;9.5768;6;3;9.5816;0.12;0.06;-0.55;-1.21;4;9.4312
02509056521;20;2;4;9.4354;2;4;9.4354;0.93;0.24;-1.79;-1.2;4;9.4354
26086098320;20;3;5;9.4376;3;5;9.4388;-0.81;-0.44;-0.41;-0.53;5;9.4388
24041021920;20;4;12;9.4442;4;9;9.6848;0.66;1.15;-1.77;-1.38;12;9.4442
24041015119;20;7;1;8.9472;6;6;9.5584;0.96;1.62;-2.36;-1.46;8;9.4516
06031076519;20;6;4;8.6606;2;2;9.6926;-0.18;-0.19;-0.69;-0.83;4;9.4536
06011054321;20;2;3;9.2794;2;3;9.4574;-0.57;-0.26;-0.46;-0.67;3;9.4574
06031059921;20;2;2;9.455;2;2;9.4682;0.1;-0.23;-0.62;-0.97;2;9.4682
08144075119;20;6;6;9.3676;2;3;9.5126;0.32;-0.29;-1.0;-0.9;6;9.4724
26075019319;20;6;3;9.4732;6;3;9.4732;0.06;0.39;-0.46;-1.24;3;9.4732
26075019019;20;6;10;9.4792;6;6;9.5248;0.53;-0.81;-0.57;-0.99;10;9.4792
26615052121;20;2;6;9.339;2;6;9.4834;0.07;-0.33;-0.85;-0.78;6;9.4834
10194026519;20;5;5;9.4096;3;2;9.924;-0.48;1.16;-2.02;-0.51;5;9.4926
10195031821;20;2;1;9.4864;2;1;9.5042;-1.32;0.31;-0.43;-0.36;1;9.5042
06311022119;20;5;2;9.5156;3;1;9.9046;-0.09;-0.03;-0.93;-0.65;2;9.5332
06031006419;20;8;4;9.9476;8;4;9.9618;-0.96;0.23;-0.14;-0.57;11;9.5418
10195038921;20;2;3;9.5262;2;3;9.5442;-0.19;-1.24;-0.64;-0.23;3;9.5442
20250001621;20;3;2;9.5538;3;2;9.556;0.22;0.72;-0.6;-1.2;2;9.556
02442030820;20;5;10;9.9034;5;15;9.9282;0.37;1.34;-1.13;-1.29;17;9.558
08144075419;20;6;4;9.294;2;3;9.784;0.22;-1.02;-1.03;-0.33;8;9.5656
26075018819;20;6;10;9.5758;5;5;9.6002;0.44;-0.66;-0.35;-0.86;10;9.5758
06031076019;20;7;2;9.3084;4;6;9.5806;0.0;0.06;-0.33;-0.88;6;9.5806
08024019920;20;4;5;9.465;3;6;10.298;0.32;-0.47;-0.51;-0.75;11;9.5948
06031058419;20;5;2;8.9616;2;3;9.792;-0.97;0.45;-0.49;-0.37;4;9.5956
26614049019;20;6;6;9.6466;6;6;9.7814;-0.05;0.78;-0.81;-0.88;15;9.5974
08024020520;20;4;11;9.6062;2;5;9.6688;-1.02;1.51;-0.56;-0.69;11;9.6062
02509037820;20;5;3;9.6154;4;1;9.6928;0.51;-0.86;-0.55;-0.63;3;9.6212
10195028720;20;5;1;9.5478;4;2;9.824;-0.06;-0.32;-0.41;-0.55;3;9.6296
26086002120;20;6;2;9.6958;5;2;9.7072;0.23;0.39;-0.55;-0.91;3;9.6364
26573127618;20;7;5;9.6332;7;5;9.6408;0.16;-0.43;-0.45;-0.59;5;9.6408
06075016719;20;7;2;9.3038;2;1;9.8666;-0.23;0.34;-0.68;-0.56;5;9.6416
06224088521;20;2;1;9.6382;2;1;9.6448;0.32;0.09;-0.45;-0.87;1;9.6448
10195031420;20;4;3;9.8614;4;3;9.8614;-0.49;-0.4;-0.75;-0.09;4;9.6456
10195002921;20;4;1;9.298;3;1;9.9916;0.55;-0.73;-0.95;-0.46;2;9.651
24321019120;20;5;17;9.6524;4;11;9.7002;-0.02;-0.23;-0.72;-0.42;17;9.6524
06118134820;20;3;2;9.5184;3;3;9.7374;0.32;0.73;-0.81;-0.93;4;9.6572
20257018219;20;5;4;9.5826;1;2;10.5006;0.42;-1.37;-0.51;-0.31;4;9.6596
02509053121;20;2;3;9.657;2;3;9.661;1.06;-0.42;-1.08;-0.79;3;9.661
26615015620;20;3;3;9.7164;1;3;9.9258;-0.04;0.29;-1.09;-0.42;9;9.6642
06118029919;20;7;1;9.4708;2;1;9.667;0.2;0.33;-0.52;-0.81;1;9.667
06118119917;20;11;3;9.6038;5;1;9.8974;-0.14;-0.13;-0.61;-0.4;3;9.6678
06031053720;20;4;1;9.2596;3;3;9.674;0.95;-0.53;-0.46;-0.92;3;9.674
06075023620;20;5;2;9.4842;4;4;9.6744;-0.01;0.02;-0.53;-0.55;4;9.6744
24041000922;20;2;5;9.341;1;5;9.6782;0.29;1.48;-1.25;-0.96;5;9.6782
26075003018;20;9;9;9.6334;8;9;9.6998;-0.49;0.85;-0.37;-0.6;9;9.6998
24041032418;20;8;7;9.7018;8;3;9.7832;0.35;0.45;-1.24;-0.55;7;9.7018
10195003121;20;4;3;9.7216;4;3;9.7216;0.26;-0.18;-0.83;-0.43;5;9.7036
24321036021;20;2;10;9.7218;2;10;9.7218;0.29;-0.28;-0.82;-0.37;10;9.7218
06069045918;20;10;3;9.4098;3;1;10.0248;-0.17;0.76;-1.05;-0.4;6;9.7238
06031018619;20;6;6;9.6014;3;3;10.2278;-0.09;0.4;-0.39;-0.59;6;9.7244
06118062321;20;3;3;9.6342;2;3;9.7312;2.11;0.27;-1.0;-1.52;3;9.7312
26614049119;20;7;10;9.8122;6;9;9.9144;-0.2;-0.13;-0.2;-0.39;17;9.7314
26075002918;20;8;6;9.6692;7;6;9.7356;-0.57;0.71;-0.64;-0.3;6;9.7356
06031085318;20;9;2;9.9134;9;2;9.919;0.6;0.03;-0.38;-0.82;7;9.736
26614027818;20;8;12;9.6324;4;11;10.213;0.38;-0.32;-0.96;-0.31;17;9.737
08024012618;20;8;4;8.9024;3;1;10.068;0.15;0.76;-0.87;-0.62;9;9.7406
06069020020;20;5;2;9.8482;1;1;9.9968;-0.5;0.06;-0.45;-0.15;6;9.7456
26075005118;20;9;8;9.7068;9;8;9.746;0.32;-0.26;-0.51;-0.47;8;9.746
26618252120;20;4;10;9.7514;3;5;10.0938;-0.22;0.58;-0.53;-0.46;10;9.7514
06011059720;20;4;3;9.3866;3;1;9.8406;0.48;0.27;-0.43;-0.77;3;9.7576
06069022320;20;3;5;9.6678;3;5;9.7582;0.83;-0.9;-0.95;-0.3;5;9.7582
12622001620;20;3;1;9.762;3;1;9.762;-0.19;0.59;-1.08;-0.22;1;9.762
08144043920;20;3;3;9.638;2;3;9.7718;-0.4;-0.05;-0.27;-0.18;3;9.7718
26614033618;20;8;7;9.8178;8;3;10.4016;-0.14;-0.12;-0.45;-0.22;12;9.7738
06118003721;20;4;1;9.4972;2;1;9.7746;0.41;-0.01;-0.39;-0.6;1;9.7746
26086026620;20;5;2;9.2992;3;3;9.7764;0.11;-0.1;-0.25;-0.45;3;9.7764
26615012821;20;3;4;9.4844;1;9;9.949;0.36;-0.45;-0.75;-0.24;13;9.7786
26615006621;20;2;7;9.6474;1;9;9.8748;0.31;0.18;-0.82;-0.42;16;9.7792
06031080619;20;6;2;9.7912;6;2;9.7936;0.38;-0.34;-0.56;-0.37;3;9.7806
26075004118;20;8;6;9.733;8;6;9.7872;-0.1;0.35;-0.66;-0.3;6;9.7872
06118023420;20;5;1;10.152;1;1;10.3244;0.06;-0.67;-0.25;-0.16;3;9.795
06011030521;20;3;3;9.2132;2;6;9.8026;0.01;-0.18;-0.11;-0.36;6;9.8026
08144065321;20;2;6;9.5162;1;6;9.808;0.3;0.03;-0.28;-0.52;6;9.808
06075022019;20;7;2;9.9788;7;2;10.164;0.13;-0.2;-0.77;-0.12;6;9.8102
26614056120;20;4;5;9.5686;3;13;10.0436;-0.06;0.15;-0.71;-0.14;16;9.823
26615058819;20;5;2;9.7454;2;2;9.9798;-0.17;1.08;-0.42;-0.49;5;9.8506
06118080819;20;7;1;9.2748;1;1;9.8508;0.3;0.26;-0.27;-0.51;1;9.8508
06118095921;20;2;1;9.701;1;1;9.8586;0.33;-0.52;-0.11;-0.28;1;9.8586
10195019021;20;3;5;9.9344;2;1;9.9976;0.23;0.2;-0.71;-0.21;6;9.8712
08024028920;20;2;4;9.6956;2;4;9.8762;-0.62;2.89;-0.89;-0.66;4;9.8762
